5.399,1.948,-1.359,1.945,-1.327,-62.7,-63.2,-0.158,-0.034,1.144,1.186,-1.433
5.501,2.025,-1.463,2.021,-1.428,-44.0,-44.2,0.093,-0.078,1.341,1.306,-0.865
5.601,2.137,-1.547,2.138,-1.516,-30.2,-31.2,0.262,-0.076,1.559,1.546,-1.006
5.699,2.281,-1.615,2.296,-1.597,-20.4,-23.7,0.420,0.022,1.914,1.835,-0.735
5.801,2.482,-1.673,2.498,-1.669,-11.8,-16.1,0.273,0.110,2.204,2.146,-1.168
5.901,2.703,-1.703,2.716,-1.713,-2.9,-6.4,-0.377,0.119,2.290,2.299,-1.032
6.001,2.929,-1.697,2.936,-1.712,5.8,6.9,-0.716,-0.017,2.110,2.200,-1.473
6.101,3.137,-1.663,3.137,-1.670,13.7,15.4,0.060,-0.012,1.988,1.998,-0.928
6.201,3.318,-1.613,3.313,-1.611,16.0,20.8,-0.096,-0.152,1.765,1.745,-0.694
6.301,3.474,-1.567,3.463,-1.562,17.4,15.4,1.288,0.111,1.616,1.503,-0.149
6.399,3.601,-1.521,3.599,-1.521,24.9,20.4,0.165,0.143,1.463,1.335,0.000
6.501,3.734,-1.442,3.743,-1.445,35.4,35.2,-1.022,-0.028,1.791,1.678,-0.378
6.601,3.878,-1.325,3.896,-1.313,43.0,44.1,0.655,0.039,2.329,2.064,-0.213
6.701,4.030,-1.163,4.053,-1.149,50.4,48.9,0.307,0.109,2.478,2.375,0.000
6.801,4.173,-0.965,4.196,-0.962,58.6,57.3,-0.112,0.109,2.348,2.480,-1.500
6.901,4.286,-0.751,4.301,-0.755,66.0,68.5,-0.412,-0.027,2.298,2.340,-0.999
6.999,4.365,-0.553,4.368,-0.552,70.0,74.0,0.338,-0.090,2.099,2.120,-0.786
7.099,4.431,-0.365,4.425,-0.364,71.0,71.6,0.786,0.007,1.836,1.848,-0.474
7.199,4.487,-0.202,4.479,-0.212,71.3,69.8,0.400,0.052,1.646,1.587,-0.176
7.301,4.532,-0.053,4.529,-0.071,76.2,73.1,-0.101,0.075,1.543,1.380,0.000
7.401,4.551,0.078,4.558,0.066,89.6,83.9,0.376,0.205,1.404,1.292,-0.192
7.501,4.537,0.220,4.545,0.224,100.9,103.5,-1.028,-0.108,1.887,1.612,-0.034
7.601,4.490,0.392,4.482,0.414,109.7,110.8,1.337,0.064,2.104,1.965,-0.605
7.701,4.405,0.586,4.398,0.610,117.8,115.9,0.278,0.096,2.408,2.274,-0.075
7.801,4.281,0.785,4.285,0.809,126.7,124.5,-0.580,0.115,2.249,2.397,-1.318
7.901,4.127,0.964,4.139,0.978,135.0,137.4,-0.486,-0.018,2.170,2.289,-1.411
7.999,3.971,1.102,3.977,1.106,142.2,145.1,0.233,-0.028,2.061,2.094,-0.866
8.101,3.802,1.223,3.812,1.211,145.7,149.5,-0.062,-0.134,1.782,1.843,-1.323
8.201,3.658,1.319,3.667,1.303,148.1,145.6,1.245,0.121,1.745,1.603,0.000
8.301,3.526,1.393,3.536,1.386,154.3,151.2,0.095,0.085,1.453,1.438,-0.937
8.401,3.391,1.442,3.398,1.447,167.1,162.3,-0.120,0.150,1.553,1.516,-0.464
8.501,3.228,1.462,3.234,1.473,178.4,179.2,-1.501,-0.080,1.992,1.779,0.000
8.601,3.036,1.453,3.025,1.453,186.4,-170.6,0.396,-0.049,2.244,2.105,-0.826
8.701,2.811,1.415,2.792,1.414,192.6,-169.8,0.088,0.093,2.458,2.481,-1.012
8.801,2.553,1.346,2.527,1.353,197.2,-164.1,-0.600,0.059,2.872,2.884,-1.016
8.901,2.263,1.247,2.230,1.249,200.6,-157.8,-0.260,-0.007,3.371,3.265,-0.310
8.999,1.961,1.125,1.918,1.113,203.2,-156.4,0.586,0.053,3.505,3.618,-1.500
9.101,1.596,0.964,1.566,0.962,204.7,-156.4,-0.017,0.081,3.983,3.979,-1.245
9.201,1.225,0.782,1.201,0.788,208.1,-152.4,-0.538,0.070,4.283,4.303,-0.663
9.299,0.860,0.575,0.829,0.572,210.8,-147.4,-0.137,0.002,4.521,4.527,-0.699
9.401,0.456,0.319,0.450,0.326,213.9,-146.9,-0.106,0.058,4.358,4.563,-1.500
9.501,0.079,0.074,0.093,0.079,211.8,-144.5,0.515,-0.121,4.308,4.387,-0.982
9.599,-0.265,-0.138,-0.255,-0.135,211.7,-152.3,0.110,0.149,4.049,4.106,-1.094
9.699,-0.602,-0.347,-0.589,-0.332,211.7,-145.7,-1.108,-0.107,3.571,3.806,-1.500
